plot_number,plex_range,street_side,orientation_margin,array_key,style_vote,style_conf,th_position,layout,bua
165,159-166,down,0.9799,8,mysk,0.75,TH02,mysk-a,2111.45
166,159-166,down,0.9799,8,mysk,0.75,TH01,moon-a,2607.99
167,167-174,up,0.9152,8,moon,1.0,TH01,moon-a,2607.99
168,167-174,up,0.9152,8,moon,1.0,TH02,mysk-a,2111.45
169,167-174,up,0.9152,8,moon,1.0,TH03,mysk-b,2094.98
170,167-174,up,0.9152,8,moon,1.0,TH04,mysk-a,2094.76
171,167-174,up,0.9152,8,moon,1.0,TH05,mysk-b,2094.76
172,167-174,up,0.9152,8,moon,1.0,TH06,mysk-a,2094.65
173,167-174,up,0.9152,8,moon,1.0,TH07,mysk-b,2111.45
174,167-174,up,0.9152,8,moon,1.0,TH08,moon-b,2607.99
175,175-182,down,0.8815,8,mysk,0.75,TH08,moon-b,2607.99
176,175-182,down,0.8815,8,mysk,0.75,TH07,mysk-b,2111.45
177,175-182,down,0.8815,8,mysk,0.75,TH06,mysk-a,2094.65
178,175-182,down,0.8815,8,mysk,0.75,TH05,mysk-b,2094.76
179,175-182,down,0.8815,8,mysk,0.75,TH04,mysk-a,2094.76
180,175-182,down,0.8815,8,mysk,0.75,TH03,mysk-b,2094.98
181,175-182,down,0.8815,8,mysk,0.75,TH02,mysk-a,2111.45
182,175-182,down,0.8815,8,mysk,0.75,TH01,moon-a,2607.99
183,183-186,up,0.9268,4-2,mysk,1.0,TH01,mysk-a,2586.13
184,183-186,up,0.9268,4-2,mysk,1.0,TH02,mysk-a,2111.02
185,183-186,up,0.9268,4-2,mysk,1.0,TH03,mysk-b,2111.02
186,183-186,up,0.9268,4-2,mysk,1.0,TH04,mysk-b,2586.13
187,187-190,up,0.9619,4-1,moon,1.0,TH01,moon-a,2607.99
188,187-190,up,0.9619,4-1,moon,1.0,TH02,moon-a,2179.8
189,187-190,up,0.9619,4-1,moon,1.0,TH03,moon-b,2179.8
190,187-190,up,0.9619,4-1,moon,1.0,TH04,moon-b,2607.99
191,191-194,down,0.8851,4-2,mysk,1.0,TH01,mysk-a,2586.13
192,191-194,down,0.8851,4-2,mysk,1.0,TH02,mysk-a,2111.02
193,191-194,down,0.8851,4-2,mysk,1.0,TH03,mysk-b,2111.02
194,191-194,down,0.8851,4-2,mysk,1.0,TH04,mysk-b,2586.13
195,195-198,down,0.9952,4-1,moon,1.0,TH01,moon-a,2607.99
196,195-198,down,0.9952,4-1,moon,1.0,TH02,moon-a,2179.8
197,195-198,down,0.9952,4-1,moon,1.0,TH03,moon-b,2179.8
