plot_number,unit_number,facade_style,bedrooms,layout,label,bua,bathrooms,maids_room,ground_floor_bedroom,plex_range,plex_size,street_side,th_position,orientation_margin,style_vote_frac
61,61,bold,3,bold-d,D,1898.2,3.5,True,False,59-66,8,right,3,0.4375,1.0
62,62,bold,3,bold-c,C,1898.2,3.5,True,False,59-66,8,right,4,0.4375,1.0
63,63,bold,3,bold-d,D,1898.2,3.5,True,False,59-66,8,right,5,0.4375,1.0
64,64,bold,3,bold-c,C,1898.2,3.5,True,False,59-66,8,right,6,0.4375,1.0
65,65,bold,3,bold-d,D,1899.3,3.5,True,False,59-66,8,right,7,0.4375,1.0
66,66,bold,4,bold-d,D,2346.3,4.0,True,True,59-66,8,right,8,0.4375,1.0
67,67,sleek,4,sleek-c,C,2344.7,4.0,True,True,67-74,8,right,1,0.6562,1.0
68,68,sleek,3,sleek-c,C,1906.4,3.5,True,False,67-74,8,right,2,0.6562,1.0
69,69,sleek,3,sleek-d,D,1905.9,3.5,True,False,67-74,8,right,3,0.6562,1.0
70,70,sleek,3,sleek-c,C,1905.9,3.5,True,False,67-74,8,right,4,0.6562,1.0
71,71,sleek,3,sleek-d,D,1905.9,3.5,True,False,67-74,8,right,5,0.6562,1.0
72,72,sleek,3,sleek-c,C,1905.9,3.5,True,False,67-74,8,right,6,0.6562,1.0
73,73,sleek,3,sleek-d,D,1907.2,3.5,True,False,67-74,8,right,7,0.6562,1.0
74,74,sleek,4,sleek-d,D,2345.7,4.0,True,True,67-74,8,right,8,0.6562,1.0
75,75,sleek,4,sleek-a,A,2264.6,4.0,True,True,75-80,6,up,1,0.375,1.0
76,76,sleek,3,sleek-a,A,2009.2,3.5,True,False,75-80,6,up,2,0.375,1.0
77,77,sleek,3,sleek-b,B,2010.0,3.5,True,False,75-80,6,up,3,0.375,1.0
78,78,sleek,3,sleek-a,A,2010.0,3.5,True,False,75-80,6,up,4,0.375,1.0
79,79,sleek,3,sleek-b,B,2009.2,3.5,True,False,75-80,6,up,5,0.375,1.0
80,80,sleek,4,sleek-b,B,2264.6,4.0,True,True,75-80,6,up,6,0.375,1.0
81,81,bold,4,bold-a,A,2284.3,4.0,True,True,81-90,10,up,1,0.775,1.0
82,82,bold,3,bold-a,A,1959.5,3.5,True,False,81-90,10,up,2,0.775,1.0
83,83,bold,3,bold-b,B,1959.7,3.5,True,False,81-90,10,up,3,0.775,1.0
84,84,bold,3,bold-c,C,1896.0,3.5,True,False,81-90,10,up,4,0.775,1.0
85,85,bold,3,bold-d,D,1928.9,3.5,True,False,81-90,10,up,5,0.775,1.0
86,86,bold,3,bold-a,A,1992.4,3.5,True,False,81-90,10,up,6,0.775,1.0
87,87,bold,3,bold-b,B,1959.0,3.5,True,False,81-90,10,up,7,0.775,1.0
88,88,bold,3,bold-c,C,1898.3,3.5,True,False,81-90,10,up,8,0.775,1.0
89,89,bold,3,bold-d,D,1895.6,3.5,True,False,81-90,10,up,9,0.775,1.0
90,90,bold,4,bold-b,B,2284.3,4.0,True,True,81-90,10,up,10,0.775,1.0
91,91,sleek,4,sleek-a,A,2264.5,4.0,True,True,91-100,10,down,1,0.425,1.0
92,92,sleek,3,sleek-a,A,2009.2,3.5,True,False,91-100,10,down,2,0.425,1.0
93,93,sleek,3,sleek-b,B,2011.1,3.5,True,False,91-100,10,down,3,0.425,1.0
94,94,sleek,3,sleek-c,C,1903.7,3.5,True,False,91-100,10,down,4,0.425,1.0
95,95,sleek,3,sleek-d,D,1938.2,3.5,True,False,91-100,10,down,5,0.425,1.0
96,96,sleek,3,sleek-a,A,2043.8,3.5,True,False,91-100,10,down,6,0.425,1.0
97,97,sleek,3,sleek-b,B,2010.5,3.5,True,False,91-100,10,down,7,0.425,1.0
98,98,sleek,3,sleek-c,C,1903.2,3.5,True,False,91-100,10,down,8,0.425,1.0
99,99,sleek,3,sleek-d,D,1903.0,3.5,True,False,91-100,10,down,9,0.425,1.0
100,100,sleek,4,sleek-b,B,2265.1,4.0,True,True,91-100,10,down,10,0.425,1.0
101,101,bold,4,bold-a,A,2284.3,4.0,True,True,101-110,10,up,1,0.5,1.0
102,102,bold,3,bold-a,A,1959.5,3.5,True,False,101-110,10,up,2,0.5,1.0
103,103,bold,3,bold-b,B,1959.7,3.5,True,False,101-110,10,up,3,0.5,1.0
104,104,bold,3,bold-c,C,1896.0,3.5,True,False,101-110,10,up,4,0.5,1.0
105,105,bold,3,bold-d,D,1928.9,3.5,True,False,101-110,10,up,5,0.5,1.0
106,106,bold,3,bold-a,A,1992.4,3.5,True,False,101-110,10,up,6,0.5,1.0
107,107,bold,3,bold-b,B,1959.0,3.5,True,False,101-110,10,up,7,0.5,1.0
108,108,bold,3,bold-c,C,1898.3,3.5,True,False,101-110,10,up,8,0.5,1.0
109,109,bold,3,bold-d,D,1895.6,3.5,True,False,101-110,10,up,9,0.5,1.0
110,110,bold,4,bold-b,B,2284.3,4.0,True,True,101-110,10,up,10,0.5,1.0
111,111,sleek,4,sleek-a,A,2264.5,4.0,True,True,111-120,10,down,1,0.4,1.0
112,112,sleek,3,sleek-a,A,2009.2,3.5,True,False,111-120,10,down,2,0.4,1.0
113,113,sleek,3,sleek-b,B,2011.1,3.5,True,False,111-120,10,down,3,0.4,1.0
114,114,sleek,3,sleek-c,C,1903.7,3.5,True,False,111-120,10,down,4,0.4,1.0
115,115,sleek,3,sleek-d,D,1938.2,3.5,True,False,111-120,10,down,5,0.4,1.0
116,116,sleek,3,sleek-a,A,2043.8,3.5,True,False,111-120,10,down,6,0.4,1.0
117,117,sleek,3,sleek-b,B,2010.5,3.5,True,False,111-120,10,down,7,0.4,1.0
118,118,sleek,3,sleek-c,C,1903.2,3.5,True,False,111-120,10,down,8,0.4,1.0
119,119,sleek,3,sleek-d,D,1903.0,3.5,True,False,111-120,10,down,9,0.4,1.0
120,120,sleek,4,sleek-b,B,2265.1,4.0,True,True,111-120,10,down,10,0.4,1.0
121,121,bold,4,bold-a,A,2284.3,4.0,True,True,121-130,10,up,1,0.8,1.0
122,122,bold,3,bold-a,A,1959.5,3.5,True,False,121-130,10,up,2,0.8,1.0
123,123,bold,3,bold-b,B,1959.7,3.5,True,False,121-130,10,up,3,0.8,1.0
124,124,bold,3,bold-c,C,1896.0,3.5,True,False,121-130,10,up,4,0.8,1.0
125,125,bold,3,bold-d,D,1928.9,3.5,True,False,121-130,10,up,5,0.8,1.0
126,126,bold,3,bold-a,A,1992.4,3.5,True,False,121-130,10,up,6,0.8,1.0
127,127,bold,3,bold-b,B,1959.0,3.5,True,False,121-130,10,up,7,0.8,1.0
128,128,bold,3,bold-c,C,1898.3,3.5,True,False,121-130,10,up,8,0.8,1.0
129,129,bold,3,bold-d,D,1895.6,3.5,True,False,121-130,10,up,9,0.8,1.0
130,130,bold,4,bold-b,B,2284.3,4.0,True,True,121-130,10,up,10,0.8,1.0
131,131,sleek,4,sleek-a,A,2264.5,4.0,True,True,131-140,10,down,1,0.45,1.0
132,132,sleek,3,sleek-a,A,2009.2,3.5,True,False,131-140,10,down,2,0.45,1.0
133,133,sleek,3,sleek-b,B,2011.1,3.5,True,False,131-140,10,down,3,0.45,1.0
134,134,sleek,3,sleek-c,C,1903.7,3.5,True,False,131-140,10,down,4,0.45,1.0
135,135,sleek,3,sleek-d,D,1938.2,3.5,True,False,131-140,10,down,5,0.45,1.0
136,136,sleek,3,sleek-a,A,2043.8,3.5,True,False,131-140,10,down,6,0.45,1.0
137,137,sleek,3,sleek-b,B,2010.5,3.5,True,False,131-140,10,down,7,0.45,1.0
138,138,sleek,3,sleek-c,C,1903.2,3.5,True,False,131-140,10,down,8,0.45,1.0
139,139,sleek,3,sleek-d,D,1903.0,3.5,True,False,131-140,10,down,9,0.45,1.0
140,140,sleek,4,sleek-b,B,2265.1,4.0,True,True,131-140,10,down,10,0.45,1.0
141,141,bold,4,bold-a,A,2284.3,4.0,True,True,141-150,10,down,1,0.375,1.0
142,142,bold,3,bold-a,A,1959.5,3.5,True,False,141-150,10,down,2,0.375,1.0
143,143,bold,3,bold-b,B,1959.7,3.5,True,False,141-150,10,down,3,0.375,1.0
144,144,bold,3,bold-c,C,1896.0,3.5,True,False,141-150,10,down,4,0.375,1.0
145,145,bold,3,bold-d,D,1928.9,3.5,True,False,141-150,10,down,5,0.375,1.0
146,146,bold,3,bold-a,A,1992.4,3.5,True,False,141-150,10,down,6,0.375,1.0
147,147,bold,3,bold-b,B,1959.0,3.5,True,False,141-150,10,down,7,0.375,1.0
148,148,bold,3,bold-c,C,1898.3,3.5,True,False,141-150,10,down,8,0.375,1.0
149,149,bold,3,bold-d,D,1895.6,3.5,True,False,141-150,10,down,9,0.375,1.0
150,150,bold,4,bold-b,B,2284.3,4.0,True,True,141-150,10,down,10,0.375,1.0
151,151,sleek,4,sleek-a,A,2264.5,4.0,True,True,151-160,10,up,1,0.7,1.0
152,152,sleek,3,sleek-a,A,2009.2,3.5,True,False,151-160,10,up,2,0.7,1.0
153,153,sleek,3,sleek-b,B,2011.1,3.5,True,False,151-160,10,up,3,0.7,1.0
154,154,sleek,3,sleek-c,C,1903.7,3.5,True,False,151-160,10,up,4,0.7,1.0
155,155,sleek,3,sleek-d,D,1938.2,3.5,True,False,151-160,10,up,5,0.7,1.0
156,156,sleek,3,sleek-a,A,2043.8,3.5,True,False,151-160,10,up,6,0.7,1.0
157,157,sleek,3,sleek-b,B,2010.5,3.5,True,False,151-160,10,up,7,0.7,1.0
158,158,sleek,3,sleek-c,C,1903.2,3.5,True,False,151-160,10,up,8,0.7,1.0
159,159,sleek,3,sleek-d,D,1903.0,3.5,True,False,151-160,10,up,9,0.7,1.0
160,160,sleek,4,sleek-b,B,2265.1,4.0,True,True,151-160,10,up,10,0.7,1.0
161,161,bold,4,bold-a,A,2284.3,4.0,True,True,161-170,10,down,1,0.35,1.0
162,162,bold,3,bold-a,A,1959.5,3.5,True,False,161-170,10,down,2,0.35,1.0
163,163,bold,3,bold-b,B,1959.7,3.5,True,False,161-170,10,down,3,0.35,1.0
164,164,bold,3,bold-c,C,1896.0,3.5,True,False,161-170,10,down,4,0.35,1.0
165,165,bold,3,bold-d,D,1928.9,3.5,True,False,161-170,10,down,5,0.35,1.0
166,166,bold,3,bold-a,A,1992.4,3.5,True,False,161-170,10,down,6,0.35,1.0
167,167,bold,3,bold-b,B,1959.0,3.5,True,False,161-170,10,down,7,0.35,1.0
168,168,bold,3,bold-c,C,1898.3,3.5,True,False,161-170,10,down,8,0.35,1.0
169,169,bold,3,bold-d,D,1895.6,3.5,True,False,161-170,10,down,9,0.35,1.0
170,170,bold,4,bold-b,B,2284.3,4.0,True,True,161-170,10,down,10,0.35,1.0
171,171,sleek,4,sleek-a,A,2264.5,4.0,True,True,171-180,10,up,1,0.775,1.0
172,172,sleek,3,sleek-a,A,2009.2,3.5,True,False,171-180,10,up,2,0.775,1.0
173,173,sleek,3,sleek-b,B,2011.1,3.5,True,False,171-180,10,up,3,0.775,1.0
174,174,sleek,3,sleek-c,C,1903.7,3.5,True,False,171-180,10,up,4,0.775,1.0
175,175,sleek,3,sleek-d,D,1938.2,3.5,True,False,171-180,10,up,5,0.775,1.0
176,176,sleek,3,sleek-a,A,2043.8,3.5,True,False,171-180,10,up,6,0.775,1.0
177,177,sleek,3,sleek-b,B,2010.5,3.5,True,False,171-180,10,up,7,0.775,1.0
178,178,sleek,3,sleek-c,C,1903.2,3.5,True,False,171-180,10,up,8,0.775,1.0
179,179,sleek,3,sleek-d,D,1903.0,3.5,True,False,171-180,10,up,9,0.775,1.0
180,180,sleek,4,sleek-b,B,2265.1,4.0,True,True,171-180,10,up,10,0.775,1.0
181,181,bold,4,bold-a,A,2284.3,4.0,True,True,181-190,10,down,1,0.3,1.0
182,182,bold,3,bold-a,A,1959.5,3.5,True,False,181-190,10,down,2,0.3,1.0
183,183,bold,3,bold-b,B,1959.7,3.5,True,False,181-190,10,down,3,0.3,1.0
184,184,bold,3,bold-c,C,1896.0,3.5,True,False,181-190,10,down,4,0.3,1.0
185,185,bold,3,bold-d,D,1928.9,3.5,True,False,181-190,10,down,5,0.3,1.0
186,186,bold,3,bold-a,A,1992.4,3.5,True,False,181-190,10,down,6,0.3,1.0
187,187,bold,3,bold-b,B,1959.0,3.5,True,False,181-190,10,down,7,0.3,1.0
188,188,bold,3,bold-c,C,1898.3,3.5,True,False,181-190,10,down,8,0.3,1.0
189,189,bold,3,bold-d,D,1895.6,3.5,True,False,181-190,10,down,9,0.3,1.0
190,190,bold,4,bold-b,B,2284.3,4.0,True,True,181-190,10,down,10,0.3,1.0
191,191,sleek,4,sleek-a,A,2264.6,4.0,True,True,191-196,6,up,1,0.375,1.0
192,192,sleek,3,sleek-a,A,2009.2,3.5,True,False,191-196,6,up,2,0.375,1.0
193,193,sleek,3,sleek-b,B,2010.0,3.5,True,False,191-196,6,up,3,0.375,1.0
194,194,sleek,3,sleek-a,A,2010.0,3.5,True,False,191-196,6,up,4,0.375,1.0
195,195,sleek,3,sleek-b,B,2009.2,3.5,True,False,191-196,6,up,5,0.375,1.0
196,196,sleek,4,sleek-b,B,2264.6,4.0,True,True,191-196,6,up,6,0.375,1.0
197,197,bold,4,bold-a,A,2284.4,4.0,True,True,197-202,6,up,1,0.2917,1.0
198,198,bold,3,bold-a,A,1959.5,3.5,True,False,197-202,6,up,2,0.2917,1.0
199,199,bold,3,bold-b,B,1959.8,3.5,True,False,197-202,6,up,3,0.2917,1.0
200,200,bold,3,bold-a,A,1959.8,3.5,True,False,197-202,6,up,4,0.2917,1.0
201,201,bold,3,bold-b,B,1959.5,3.5,True,False,197-202,6,up,5,0.2917,1.0
202,202,bold,4,bold-b,B,2284.4,4.0,True,True,197-202,6,up,6,0.2917,1.0
203,203,sleek,4,sleek-c,C,2344.7,4.0,True,True,203-210,8,up,1,0.6562,1.0
204,204,sleek,3,sleek-c,C,1906.4,3.5,True,False,203-210,8,up,2,0.6562,1.0
205,205,sleek,3,sleek-d,D,1905.9,3.5,True,False,203-210,8,up,3,0.6562,1.0
206,206,sleek,3,sleek-c,C,1905.9,3.5,True,False,203-210,8,up,4,0.6562,1.0
207,207,sleek,3,sleek-d,D,1905.9,3.5,True,False,203-210,8,up,5,0.6562,1.0
208,208,sleek,3,sleek-c,C,1905.9,3.5,True,False,203-210,8,up,6,0.6562,1.0
209,209,sleek,3,sleek-d,D,1907.2,3.5,True,False,203-210,8,up,7,0.6562,1.0
210,210,sleek,4,sleek-d,D,2345.7,4.0,True,True,203-210,8,up,8,0.6562,1.0
211,211,bold,4,bold-a,A,2284.4,4.0,True,True,211-216,6,left,1,0.3333,1.0
212,212,bold,3,bold-a,A,1959.5,3.5,True,False,211-216,6,left,2,0.3333,1.0
213,213,bold,3,bold-b,B,1959.8,3.5,True,False,211-216,6,left,3,0.3333,1.0
214,214,bold,3,bold-a,A,1959.8,3.5,True,False,211-216,6,left,4,0.3333,1.0
215,215,bold,3,bold-b,B,1959.5,3.5,True,False,211-216,6,left,5,0.3333,1.0
216,216,bold,4,bold-b,B,2284.4,4.0,True,True,211-216,6,left,6,0.3333,1.0
217,217,sleek,4,sleek-a,A,2264.6,4.0,True,True,217-222,6,left,1,0.3333,1.0
218,218,sleek,3,sleek-a,A,2009.2,3.5,True,False,217-222,6,left,2,0.3333,1.0
219,219,sleek,3,sleek-b,B,2010.0,3.5,True,False,217-222,6,left,3,0.3333,1.0
220,220,sleek,3,sleek-a,A,2010.0,3.5,True,False,217-222,6,left,4,0.3333,1.0
221,221,sleek,3,sleek-b,B,2009.2,3.5,True,False,217-222,6,left,5,0.3333,1.0
222,222,sleek,4,sleek-b,B,2264.6,4.0,True,True,217-222,6,left,6,0.3333,1.0
223,223,sleek,4,sleek-a,A,2264.6,4.0,True,True,223-228,6,down,1,0.2083,1.0
224,224,sleek,3,sleek-a,A,2009.2,3.5,True,False,223-228,6,down,2,0.2083,1.0
225,225,sleek,3,sleek-b,B,2010.0,3.5,True,False,223-228,6,down,3,0.2083,1.0
226,226,sleek,3,sleek-a,A,2010.0,3.5,True,False,223-228,6,down,4,0.2083,1.0
227,227,sleek,3,sleek-b,B,2009.2,3.5,True,False,223-228,6,down,5,0.2083,1.0
228,228,sleek,4,sleek-b,B,2264.6,4.0,True,True,223-228,6,down,6,0.2083,1.0
229,229,bold,4,bold-c,C,2346.3,4.0,True,True,229-236,8,right,1,0.4062,1.0
230,230,bold,3,bold-c,C,1899.3,3.5,True,False,229-236,8,right,2,0.4062,1.0
231,231,bold,3,bold-d,D,1898.2,3.5,True,False,229-236,8,right,3,0.4062,1.0
232,232,bold,3,bold-c,C,1898.2,3.5,True,False,229-236,8,right,4,0.4062,1.0
233,233,bold,3,bold-d,D,1898.2,3.5,True,False,229-236,8,right,5,0.4062,1.0
234,234,bold,3,bold-c,C,1898.2,3.5,True,False,229-236,8,right,6,0.4062,1.0
235,235,bold,3,bold-d,D,1899.3,3.5,True,False,229-236,8,right,7,0.4062,1.0
236,236,bold,4,bold-d,D,2346.3,4.0,True,True,229-236,8,right,8,0.4062,1.0
237,237,sleek,4,sleek-c,C,2344.7,4.0,True,True,237-244,8,left,1,0.4375,1.0
238,238,sleek,3,sleek-c,C,1906.4,3.5,True,False,237-244,8,left,2,0.4375,1.0
239,239,sleek,3,sleek-d,D,1905.9,3.5,True,False,237-244,8,left,3,0.4375,1.0
240,240,sleek,3,sleek-c,C,1905.9,3.5,True,False,237-244,8,left,4,0.4375,1.0
241,241,sleek,3,sleek-d,D,1905.9,3.5,True,False,237-244,8,left,5,0.4375,1.0
242,242,sleek,3,sleek-c,C,1905.9,3.5,True,False,237-244,8,left,6,0.4375,1.0
243,243,sleek,3,sleek-d,D,1907.2,3.5,True,False,237-244,8,left,7,0.4375,1.0
244,244,sleek,4,sleek-d,D,2345.7,4.0,True,True,237-244,8,left,8,0.4375,1.0
245,245,bold,4,bold-a,A,2284.3,4.0,True,True,245-254,10,left,1,0.375,1.0
246,246,bold,3,bold-a,A,1959.5,3.5,True,False,245-254,10,left,2,0.375,1.0
247,247,bold,3,bold-b,B,1959.7,3.5,True,False,245-254,10,left,3,0.375,1.0
248,248,bold,3,bold-c,C,1896.0,3.5,True,False,245-254,10,left,4,0.375,1.0
249,249,bold,3,bold-d,D,1928.9,3.5,True,False,245-254,10,left,5,0.375,1.0
250,250,bold,3,bold-a,A,1992.4,3.5,True,False,245-254,10,left,6,0.375,1.0
251,251,bold,3,bold-b,B,1959.0,3.5,True,False,245-254,10,left,7,0.375,1.0
252,252,bold,3,bold-c,C,1898.3,3.5,True,False,245-254,10,left,8,0.375,1.0
253,253,bold,3,bold-d,D,1895.6,3.5,True,False,245-254,10,left,9,0.375,1.0
254,254,bold,4,bold-b,B,2284.3,4.0,True,True,245-254,10,left,10,0.375,1.0
255,255,bold,4,bold-c,C,2346.3,4.0,True,True,255-262,8,right,1,0.4062,1.0
256,256,bold,3,bold-c,C,1899.3,3.5,True,False,255-262,8,right,2,0.4062,1.0
257,257,bold,3,bold-d,D,1898.2,3.5,True,False,255-262,8,right,3,0.4062,1.0
258,258,bold,3,bold-c,C,1898.2,3.5,True,False,255-262,8,right,4,0.4062,1.0
259,259,bold,3,bold-d,D,1898.2,3.5,True,False,255-262,8,right,5,0.4062,1.0
260,260,bold,3,bold-c,C,1898.2,3.5,True,False,255-262,8,right,6,0.4062,1.0
261,261,bold,3,bold-d,D,1899.3,3.5,True,False,255-262,8,right,7,0.4062,1.0
262,262,bold,4,bold-d,D,2346.3,4.0,True,True,255-262,8,right,8,0.4062,1.0
263,263,bold,4,bold-a,A,2284.3,4.0,True,True,263-272,10,right,1,0.375,1.0
264,264,bold,3,bold-a,A,1959.5,3.5,True,False,263-272,10,right,2,0.375,1.0
265,265,bold,3,bold-b,B,1959.7,3.5,True,False,263-272,10,right,3,0.375,1.0
266,266,bold,3,bold-c,C,1896.0,3.5,True,False,263-272,10,right,4,0.375,1.0
267,267,bold,3,bold-d,D,1928.9,3.5,True,False,263-272,10,right,5,0.375,1.0
268,268,bold,3,bold-a,A,1992.4,3.5,True,False,263-272,10,right,6,0.375,1.0
269,269,bold,3,bold-b,B,1959.0,3.5,True,False,263-272,10,right,7,0.375,1.0
270,270,bold,3,bold-c,C,1898.3,3.5,True,False,263-272,10,right,8,0.375,1.0
271,271,bold,3,bold-d,D,1895.6,3.5,True,False,263-272,10,right,9,0.375,1.0
272,272,bold,4,bold-b,B,2284.3,4.0,True,True,263-272,10,right,10,0.375,1.0
273,273,sleek,4,sleek-a,A,2264.5,4.0,True,True,273-282,10,left,1,0.525,1.0
274,274,sleek,3,sleek-a,A,2009.2,3.5,True,False,273-282,10,left,2,0.525,1.0
275,275,sleek,3,sleek-b,B,2011.1,3.5,True,False,273-282,10,left,3,0.525,1.0
276,276,sleek,3,sleek-c,C,1903.7,3.5,True,False,273-282,10,left,4,0.525,1.0
277,277,sleek,3,sleek-d,D,1938.2,3.5,True,False,273-282,10,left,5,0.525,1.0
278,278,sleek,3,sleek-a,A,2043.8,3.5,True,False,273-282,10,left,6,0.525,1.0
279,279,sleek,3,sleek-b,B,2010.5,3.5,True,False,273-282,10,left,7,0.525,1.0
280,280,sleek,3,sleek-c,C,1903.2,3.5,True,False,273-282,10,left,8,0.525,1.0
281,281,sleek,3,sleek-d,D,1903.0,3.5,True,False,273-282,10,left,9,0.525,1.0
282,282,sleek,4,sleek-b,B,2265.1,4.0,True,True,273-282,10,left,10,0.525,1.0
283,283,sleek,4,sleek-c,C,2344.7,4.0,True,True,283-290,8,left,1,0.4062,1.0
284,284,sleek,3,sleek-c,C,1906.4,3.5,True,False,283-290,8,left,2,0.4062,1.0
285,285,sleek,3,sleek-d,D,1905.9,3.5,True,False,283-290,8,left,3,0.4062,1.0
286,286,sleek,3,sleek-c,C,1905.9,3.5,True,False,283-290,8,left,4,0.4062,1.0
