plot_number,style_source,orientation_margin,bua_sqm
356,colour,0.588,174.72
357,colour,0.588,174.73
358,colour,0.588,201.46
359,key_plan,0.627,209.02
360,key_plan,0.627,195.09
361,key_plan,0.627,194.88
362,key_plan,0.627,206.06
363,key_plan,0.706,203.11
364,key_plan,0.706,175.72
365,key_plan,0.706,175.68
366,key_plan,0.706,191.64
367,key_plan,0.706,194.03
368,key_plan,0.706,178.57
369,key_plan,0.706,176.28
370,key_plan,0.706,176.18
371,key_plan,0.706,175.6
372,key_plan,0.706,203.11
