plot,cx,cy,conf
260,2629.5,1292.5,0.9999997246979434
261,2626.5,1222.0,0.9999992429193688
262,2629.5,1165.5,0.9999996558724309
263,2629.5,1095.0,0.9999997246979434
264,2629.5,1025.0,0.9999997246979434
265,2628.5,957.0,1.0
266,2629.0,885.0,0.999259818292277
267,2365.0,899.0,0.999998279362313
268,2365.5,975.0,1.0
269,2365.0,1034.0,0.9999997935234566
270,2365.5,1107.0,0.9999999311744849
271,2359.0,1271.0,0.999994838088129
272,2361.5,1341.0,0.9762990118733491
273,2361.5,1410.5,1.0
274,2361.0,1484.0,0.9623521566390991
275,2399.0,1710.5,0.9999995182214076
276,2400.0,1771.0,0.9999997246979434
277,2414.0,1843.5,0.9996255036462214
278,2400.5,1908.0,1.0
279,2415.0,1973.0,0.9998970789472765
280,2401.5,2044.5,1.0
281,2414.0,2107.5,0.9999014620901975
282,2403.0,2187.0,0.9999998623489704
283,1978.0,2201.5,1.0
284,1979.0,2124.5,0.9998390674591064
285,1978.5,2057.0,1.0
286,1979.0,1989.0,0.9999991740938607
287,1969.0,1819.5,0.9999990364428464
288,1969.5,1744.5,1.0
289,1972.0,1671.5,0.9999998623489704
290,1972.5,1611.5,0.9999944939607979
291,1939.0,1389.0,0.9858707785606384
292,1942.5,1310.5,0.8815418481826782
293,1941.5,1238.5,0.8815692067146301
294,1941.5,1183.0,0.9028023481369019
295,1942.5,1111.0,0.9727160334587097
296,1941.5,1049.5,0.8762544393539429
297,1941.0,975.5,0.9924020767211914
298,1941.5,911.5,0.828192949295044
299,1684.0,920.5,0.9800714254379272
300,1684.5,983.0,0.9999980040603199
301,1682.5,1055.0,0.8134481541531217
302,1685.0,1129.5,0.9999998623489704
303,1693.0,1297.5,0.9930819869041443
304,1692.5,1365.0,0.9999990364428464
305,1692.5,1432.5,0.9999998623489704
306,1693.0,1501.0,0.4457144746941401
307,1709.0,1727.0,0.5997197150852107
308,1709.5,1796.5,0.9012804627418518
309,1709.0,1861.5,0.730431854724884
310,1709.5,1929.5,0.9992637038230896
311,1706.5,1996.0,0.9914972186088562
312,1709.5,2063.0,0.9793797731399536
313,1709.5,2132.5,0.9994362592697144
314,1709.0,2202.0,0.8536851720756069
315,1294.5,2215.5,0.9999999311744849
316,1295.0,2142.5,0.9966545701026917
317,1294.0,2077.5,0.996782660484314
318,1294.5,2005.5,0.9347003698348999
319,1275.5,1839.5,0.9776366949081421
320,1279.0,1767.0,0.6775034176937822
321,1276.0,1691.0,0.9999964210740566
322,1278.5,1628.5,0.5635605238366063
323,1269.0,1405.5,0.9979604482650757
324,1268.0,1328.0,0.8449057936668396
325,1268.5,1261.5,0.9962822794914246
326,1268.0,1190.0,0.9999352097511292
327,1266.5,1117.0,0.9999995870469189
328,1267.0,1054.5,0.9922543168067932
329,1266.0,989.0,0.999464763160943
330,1267.0,929.5,0.6604923009872437
331,1003.0,973.0,0.9995185136795044
332,1005.5,1050.5,0.9999991740938607
333,1005.5,1121.5,0.9999998623489704
334,1006.0,1194.0,0.8547983765602112
335,1009.5,1349.5,0.8752748370170593
336,1009.5,1425.0,0.9999999311744849
337,1009.0,1493.5,0.9265644550323486
338,1009.5,1563.0,1.0
339,1033.0,1742.5,0.665928065776825
340,1033.5,1822.5,0.9421455264091492
341,1030.5,1883.0,0.9999935304043551
342,1033.5,1945.5,0.7351819278366392
343,1033.5,2014.5,0.7075656452267333
344,1033.5,2077.0,0.6527174115180969
345,1033.5,2147.5,0.9999998623489704
346,1033.5,2227.5,0.9999991740938607
347,3297.0,488.5,0.9999999311744849
348,3219.0,489.5,0.9967536330223083
349,3144.0,491.0,0.9999997246979434
350,3074.5,492.5,0.5355053544044495
351,2998.5,495.0,0.43235369356183906
352,2929.0,496.5,0.9703058004379272
353,2859.0,497.5,0.8429557507325209
354,2779.5,499.0,0.9962666630744934
355,2630.5,502.5,0.8555825352668762
356,2547.5,504.5,0.9282143712043762
357,2475.5,505.5,0.9999959392956953
358,2405.5,507.0,1.0
359,2333.5,509.0,0.9999986234898187
360,2261.0,510.0,0.7901463508605957
361,2186.0,512.5,0.9999976599328428
362,2108.5,514.5,0.991375744342804
363,1840.0,535.0,0.9651970863342285
